c,name
c1,Good food
c2,Music
c3,Live music
c4,Outdoor exercise
c5,Swimming
c6,Food
c7,Much food
c8,Burgers
c9,Fast Food
c10,Midnight service
c11,Service
c12,Types of food
c13,Conscious food
c14,Snacks
c15,Crowdedness
c16,Ingredients
c17,Bacon
c18,Grapes
c19,Ham
c20,Dishes
c21,Hash browns
c22,Hiking
c23,Internet
c24,Drinks
c25,Coffee
c26,Atmosphere
c27,Kitchens
c28,Indian kitchen
c29,Romantic atmosphere
c30,Market
c31,Culture
c32,Art
c33,History
c34,Architecture
c35,Experience
c36,Thrill
c37,Local culture
c38,Local people
c39,Walking
c40,Relaxing
c41,Outdoor
c42,Picnics
c43,Chips
c44,Craftmanship
c45,Alcoholic drinks
c46,Modern art
c47,Traditional local culture
c48,Fun
c49,Animals
c50,Dolphins
c51,Adventure
c52,Going out
c53,Vegetarian food
c54,Healthy food
c55,Good drinks
c56,Cocktails
c57,Dancing
c58,Cheap
c59,Museums
c60,Beer
c61,Outdoor food
c62,Pub food
c63,Squalor
c64,Scottish food
c65,Italian food
c66,Pizzas
c67,Shopping
c68,Souvenirs
c69,Authentic souvenirs
c70,Beautiful experience
c71,Beautiful view
c72,Convenience
c73,Comfort
c74,Comfortable seats
c75,Nature
c76,Peaceful atmosphere
c77,Driving
c78,Driving a boat
c79,Fruit
c80,Meat
c81,Ice cream
c82,Local food
c83,Vegetables
c84,Cinema
c85,Arthouse films
c86,Train rides
c87,Weddings
c88,Bagles
c89,Non-alcoholic drinks
c90,Chocolate drinks
c91,Paninis
c92,Social atmosphere
c93,Cheesecakes
c94,Purchasing art
c95,Waterfalls
c96,Fishing
c97,Fly fishing
c98,Late night service
c99,Spas
c100,Wine
c101,Body art
c102,Tattoos
c103,Piercings
c104,Jazz
c105,Blues
c106,Sea views
c107,Quiet atmosphere
c108,Gardens
c109,Cider
c110,Excitement
c111,Massage
c112,Beautiful sights
c113,Cycling
c114,Mountain biking
c115,Solo travellers
c116,Groups
c117,Families
c118,A low budget
c119,Friends
c120,Couples
c121,Teenagers
c122,Adults
c123,Places to eat
c124,Sights
c125,Nightspots
c126,Shops
c127,Places to visit
c128,Activities
c129,Regions
